2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:936 | Review entries: 1
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:937 | [8/8] Export done (0.0s)
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_output_format0/domains_de.json
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_output_format0/domains_de_detailed.json
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_output_format0/domains_de_review.json
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:927 | --- DE Summary ---
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:928 | Total: 1, with domain: 1 (100.0%)
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:934 | By source: {'scrape': 1}
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:935 | By confidence: {'high': 1}
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:936 | Review entries: 0
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:937 | [8/8] Export done (0.0s)
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_review_filters_correctly0/domains_de.json
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_review_filters_correctly0/domains_de_detailed.json
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_review_filters_correctly0/domains_de_review.json
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:927 | --- DE Summary ---
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:928 | Total: 3, with domain: 0 (0.0%)
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:934 | By source: {'none': 3}
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:935 | By confidence: {'high': 1, 'low': 1, 'none': 1}
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:936 | Review entries: 2
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:937 | [8/8] Export done (0.0s)
2026-04-08 16:02:25 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_collect:67 | Generated guess domains for 1 municipalities
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_collect:71 | [1/8] Collect: 2 municipalities, 10 unique domains (0.0s)
2026-04-08 16:02:25 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_collect:71 | [1/8] Collect: 1 municipalities, 0 unique domains (0.0s)
2026-04-08 16:02:25 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:check_one:120 | DNS pre-filter: 2/2
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_dns_prefilter:152 | [2/8] DNS pre-filter: 1/2 resolve, 1 eliminated (0.0s)
2026-04-08 16:02:25 | DEBUG   | logging:callHandlers:1744 | Using selector: KqueueSelector
2026-04-08 16:02:25 | INFO    | mail_municipalities.domain_resolver.pipeline:check_one:120 | DNS pre-filter: 2/2
