2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1746/2110] vernayaz.ch: provider=domestic confidence=0.88 signals=4
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.probes:probe_smtp:266 | SMTP banner fetch failed for mx1-eu1.ppe-hosted.com: Connection lost
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.84
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(massongex.ch): provider=domestic confidence=0.84 rule=dom_mx_spf signals=3
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1747/2110] massongex.ch: provider=domestic confidence=0.84 signals=3
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(oppligen.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=13
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1748/2110] oppligen.ch: provider=ms365 confidence=0.98 signals=13
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.84
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(saint-maurice.ch): provider=domestic confidence=0.84 rule=dom_mx_spf signals=3
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1749/2110] saint-maurice.ch: provider=domestic confidence=0.84 signals=3
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=frgn_mx_spf base=0.60
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:237 | foreign MX override: rule=frgn_mx_spf conf=0.64
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(salvan.ch): provider=foreign confidence=0.64 rule=frgn_mx_spf signals=4
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1750/2110] salvan.ch: provider=foreign confidence=0.64 signals=4
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:257 | rule=gateway_no_primary (gateway blocks primary signals)
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(chippis.ch): provider=unknown confidence=0.00 rule=gateway_no_primary signals=10
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1751/2110] chippis.ch: provider=unknown confidence=0.00 signals=10
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.probes:probe_smtp:266 | SMTP banner fetch failed for mx1-eu1.ppe-hosted.com: Connection lost
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(verossaz.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=14
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1752/2110] verossaz.ch: provider=ms365 confidence=1.00 signals=14
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(grone.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=14
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1753/2110] grone.ch: provider=ms365 confidence=1.00 signals=14
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.88
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(lens.ch): provider=domestic confidence=0.88 rule=dom_mx_spf signals=4
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1754/2110] lens.ch: provider=domestic confidence=0.88 signals=4
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=dkim_gw base=0.65 provider=ms365
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(anniviers.org): provider=ms365 confidence=0.67 rule=dkim_gw signals=9
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1755/2110] anniviers.org: provider=ms365 confidence=0.67 signals=9
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.probes:probe_smtp:266 | SMTP banner fetch failed for mx1-eu1.ppe-hosted.com: Connection lost
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.probes:probe_smtp:266 | SMTP banner fetch failed for mx1-eu1.ppe-hosted.com: Connection lost
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(noble-contree.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=14
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1756/2110] noble-contree.ch: provider=ms365 confidence=1.00 signals=14
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.probes:probe_smtp:266 | SMTP banner fetch failed for mx1-eu1.ppe-hosted.com: Connection lost
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.82
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(walkringen.ch): provider=domestic confidence=0.82 rule=dom_mx_spf signals=2
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1757/2110] walkringen.ch: provider=domestic confidence=0.82 signals=2
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.84
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(st-leonard.ch): provider=domestic confidence=0.84 rule=dom_mx_spf signals=4
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1758/2110] st-leonard.ch: provider=domestic confidence=0.84 signals=4
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.88
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(sierre.ch): provider=domestic confidence=0.88 rule=dom_mx_spf signals=5
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1759/2110] sierre.ch: provider=domestic confidence=0.88 signals=5
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(arbaz.ch): provider=ms365 confidence=0.76 rule=spf_gw signals=12
