2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(gruenbach.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 945/2092] gruenbach.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(hagenberg.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=8
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 946/2092] hagenberg.ooe.gv.at: provider=ms365 confidence=0.76 signals=8
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(gutau.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 947/2092] gutau.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(koenigswiesen.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 948/2092] koenigswiesen.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(kefermarkt.ooe.gv.at): provider=ms365 confidence=1.00 rule=mx_spf signals=15
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 949/2092] kefermarkt.ooe.gv.at: provider=ms365 confidence=1.00 signals=15
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(kaltenberg.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 950/2092] kaltenberg.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(liebenau.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 951/2092] liebenau.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(leopoldschlag.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 952/2092] leopoldschlag.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(pierbach.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 953/2092] pierbach.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
